customer_id,asset_type,allocation_percent,value,risk_score,age_group,risk_category
CUST_00001,Stocks,20.31,63591.74,4.63,46-60,Medium
CUST_00001,Bonds,5.93,91122.05,1.17,46-60,Low
CUST_00001,Real Estate,6.37,15751.35,2.82,18-30,Low
CUST_00001,Commodities,67.39,12916.21,8.74,18-30,Very High
CUST_00002,Stocks,24.82,53322.82,9.26,60+,Very High
CUST_00002,Bonds,23.26,12092.72,5.42,18-30,Medium
CUST_00002,Real Estate,39.19,88523.5,8.67,60+,Very High
CUST_00002,Commodities,12.74,96323.07,1.59,46-60,Low
CUST_00003,Stocks,31.94,32577.98,4.86,18-30,Medium
CUST_00003,Bonds,7.13,87167.05,4.68,31-45,Medium
CUST_00003,Real Estate,35.83,57917.01,6.67,46-60,High
CUST_00003,Commodities,25.1,3125.24,2.84,60+,Low
CUST_00004,Stocks,19.46,52590.81,2.43,60+,Low
CUST_00004,Bonds,29.33,97391.49,4.72,60+,Medium
CUST_00004,Real Estate,19.64,18784.16,7.93,60+,High
CUST_00004,Commodities,31.57,29629.08,4.24,31-45,Medium
CUST_00005,Stocks,39.96,12089.63,6.43,18-30,High
CUST_00005,Bonds,33.17,86822.66,3.92,18-30,Medium
CUST_00005,Real Estate,8.97,42739.1,1.89,60+,Low
CUST_00005,Commodities,17.9,29418.43,1.89,31-45,Low
CUST_00006,Stocks,14.55,9173.64,6.23,18-30,High
CUST_00006,Bonds,15.85,97477.64,8.97,46-60,Very High
CUST_00006,Real Estate,5.8,58885.69,1.24,18-30,Low
CUST_00006,Commodities,63.8,74825.39,8.44,31-45,Very High
CUST_00007,Stocks,15.71,64630.35,8.14,18-30,Very High
CUST_00007,Bonds,22.47,79751.13,6.37,60+,High
CUST_00007,Real Estate,28.41,98226.37,1.78,18-30,Low
CUST_00007,Commodities,33.41,89621.8,4.0,18-30,Medium
CUST_00008,Stocks,38.07,69867.66,2.4,18-30,Low
CUST_00008,Bonds,18.95,28597.43,7.78,18-30,High
CUST_00008,Real Estate,28.75,5796.97,8.75,18-30,Very High
CUST_00008,Commodities,14.23,82103.67,7.19,46-60,High
CUST_00009,Stocks,38.87,41859.58,7.78,18-30,High
CUST_00009,Bonds,31.41,21481.71,7.58,31-45,High
CUST_00009,Real Estate,18.93,67350.6,9.58,31-45,Very High
CUST_00009,Commodities,10.8,81078.57,8.47,31-45,Very High
CUST_00010,Stocks,13.02,83350.3,9.48,46-60,Very High
CUST_00010,Bonds,38.32,53828.66,7.65,46-60,High
CUST_00010,Real Estate,29.51,51681.16,3.93,18-30,Medium
CUST_00010,Commodities,19.14,82429.6,9.75,46-60,Very High
CUST_00011,Stocks,7.73,12548.02,8.01,18-30,Very High
CUST_00011,Bonds,27.87,95981.64,1.5,60+,Low
CUST_00011,Real Estate,38.98,97248.87,4.99,18-30,Medium
CUST_00011,Commodities,25.42,31338.88,4.35,18-30,Medium
CUST_00012,Stocks,37.19,14103.29,2.6,60+,Low
CUST_00012,Bonds,9.26,71132.81,3.09,31-45,Medium
CUST_00012,Real Estate,7.57,27085.15,2.42,31-45,Low
CUST_00012,Commodities,45.99,54386.79,3.9,60+,Medium
CUST_00013,Stocks,18.33,92396.77,1.56,60+,Low
